model,noise_level,model_seed,run_directory,epoch,train_loss,standard_validation_loss,standard_observed_validation_auc,standard_latent_validation_auc,standard_validation_f1,learning_rate,best_epoch_so_far,patience_counter,training_seconds
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,19,0.6469872672116757,0.6484023939323426,0.6438831292246439,0.9311818167260016,0.5466097488335153,1.0638297872340429e-06,17,2,10764.940236330032
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,20,0.6464402147054672,0.6473802851104736,0.6444769025648817,0.9328159446540678,0.5431757673180289,0.0,20,0,11298.883942604063
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,1,0.2982947065504122,0.0067779913740092,0.9999945958618832,0.9999945958618832,0.995178399228544,1.6666666666666667e-05,1,0,2426.2299728393555
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,2,0.0026143369250823,0.0001208403394164,0.9999999980640738,0.9999999980640738,0.999897172236504,1.914893617021277e-05,2,0,4909.730749845505
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,3,0.00077481702763,5.747854880610248e-05,1.0,1.0,1.0,1.8085106382978724e-05,3,0,7399.620631217956
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,4,0.0003971663512746,5.392946663996554e-06,1.0,1.0,1.0,1.7021276595744682e-05,4,0,9887.095814943314
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,5,0.0001089825091068,1.890623463893917e-06,1.0,1.0,1.0,1.595744680851064e-05,5,0,12029.360989809036
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,6,3.8526260489253286e-05,0.0001217167329741,0.9999999980640736,0.9999999980640736,0.9999314411079115,1.4893617021276596e-05,5,1,14255.443767547607
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,7,5.991109121691085e-05,6.936001026008398e-07,1.0,1.0,1.0,1.3829787234042556e-05,7,0,16402.726232290268
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,8,0.0001214097308154,4.3595653649319386e-07,1.0,1.0,1.0,1.2765957446808513e-05,8,0,18526.28879904747
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,9,4.7886358681026314e-09,4.2915341396110304e-11,1.0,1.0,1.0,1.170212765957447e-05,9,0,20717.14177036285
llama_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950,10,7.871984951108857e-09,9.536742595628312e-12,1.0,1.0,1.0,1.0638297872340426e-05,10,0,23099.722014904022
